file,only_in_original_count,only_in_final_count,only_in_original_sample,only_in_final_sample
1.json,0,10,,raw.lvl_learned_14|raw.lvl_learned_15|raw.move_id_14|raw.move_id_15|readable.lvl_learned_14
10.json,0,0,,
100.json,0,10,,raw.lvl_learned_16|raw.lvl_learned_17|raw.move_id_16|raw.move_id_17|readable.lvl_learned_16
101.json,0,20,,raw.lvl_learned_21|raw.lvl_learned_22|raw.lvl_learned_23|raw.lvl_learned_24|raw.move_id_21
102.json,0,5,,raw.lvl_learned_19|raw.move_id_19|readable.lvl_learned_19|readable.move_id_19|readable.move_id_19_index
103.json,0,15,,raw.lvl_learned_21|raw.lvl_learned_22|raw.lvl_learned_23|raw.move_id_21|raw.move_id_22
104.json,0,0,,
105.json,0,5,,raw.lvl_learned_21|raw.move_id_21|readable.lvl_learned_21|readable.move_id_21|readable.move_id_21_index
106.json,0,5,,raw.lvl_learned_22|raw.move_id_22|readable.lvl_learned_22|readable.move_id_22|readable.move_id_22_index
107.json,0,15,,raw.lvl_learned_22|raw.lvl_learned_23|raw.lvl_learned_24|raw.move_id_22|raw.move_id_23
108.json,0,5,,raw.lvl_learned_18|raw.move_id_18|readable.lvl_learned_18|readable.move_id_18|readable.move_id_18_index
109.json,0,0,,
11.json,0,0,,
110.json,0,5,,raw.lvl_learned_19|raw.move_id_19|readable.lvl_learned_19|readable.move_id_19|readable.move_id_19_index
111.json,0,5,,raw.lvl_learned_18|raw.move_id_18|readable.lvl_learned_18|readable.move_id_18|readable.move_id_18_index
112.json,0,20,,raw.lvl_learned_18|raw.lvl_learned_19|raw.lvl_learned_20|raw.lvl_learned_21|raw.move_id_18
113.json,0,0,,
114.json,0,5,,raw.lvl_learned_20|raw.move_id_20|readable.lvl_learned_20|readable.move_id_20|readable.move_id_20_index
115.json,0,0,,
116.json,0,5,,raw.lvl_learned_16|raw.move_id_16|readable.lvl_learned_16|readable.move_id_16|readable.move_id_16_index
117.json,0,15,,raw.lvl_learned_18|raw.lvl_learned_19|raw.lvl_learned_20|raw.move_id_18|raw.move_id_19
118.json,0,0,,
119.json,0,0,,
12.json,5,0,raw.lvl_learned_19|raw.move_id_19|readable.lvl_learned_19|readable.move_id_19|readable.move_id_19_index,
120.json,0,15,,raw.lvl_learned_21|raw.lvl_learned_22|raw.lvl_learned_23|raw.move_id_21|raw.move_id_22
121.json,0,15,,raw.lvl_learned_21|raw.lvl_learned_22|raw.lvl_learned_23|raw.move_id_21|raw.move_id_22
122.json,0,5,,raw.lvl_learned_23|raw.move_id_23|readable.lvl_learned_23|readable.move_id_23|readable.move_id_23_index
123.json,0,5,,raw.lvl_learned_20|raw.move_id_20|readable.lvl_learned_20|readable.move_id_20|readable.move_id_20_index
124.json,0,5,,raw.lvl_learned_19|raw.move_id_19|readable.lvl_learned_19|readable.move_id_19|readable.move_id_19_index
125.json,5,0,raw.lvl_learned_17|raw.move_id_17|readable.lvl_learned_17|readable.move_id_17|readable.move_id_17_index,
126.json,0,0,,
127.json,0,10,,raw.lvl_learned_20|raw.lvl_learned_21|raw.move_id_20|raw.move_id_21|readable.lvl_learned_20
128.json,0,5,,raw.lvl_learned_20|raw.move_id_20|readable.lvl_learned_20|readable.move_id_20|readable.move_id_20_index
129.json,0,0,,
13.json,0,0,,
130.json,0,5,,raw.lvl_learned_19|raw.move_id_19|readable.lvl_learned_19|readable.move_id_19|readable.move_id_19_index
131.json,0,10,,raw.lvl_learned_22|raw.lvl_learned_23|raw.move_id_22|raw.move_id_23|readable.lvl_learned_22
132.json,0,0,,
133.json,0,10,,raw.lvl_learned_16|raw.lvl_learned_17|raw.move_id_16|raw.move_id_17|readable.lvl_learned_16
134.json,0,10,,raw.lvl_learned_18|raw.lvl_learned_19|raw.move_id_18|raw.move_id_19|readable.lvl_learned_18
135.json,0,10,,raw.lvl_learned_18|raw.lvl_learned_19|raw.move_id_18|raw.move_id_19|readable.lvl_learned_18
136.json,0,10,,raw.lvl_learned_18|raw.lvl_learned_19|raw.move_id_18|raw.move_id_19|readable.lvl_learned_18
137.json,0,0,,
138.json,0,0,,
139.json,0,10,,raw.lvl_learned_17|raw.lvl_learned_18|raw.move_id_17|raw.move_id_18|readable.lvl_learned_17
14.json,0,0,,
140.json,0,15,,raw.lvl_learned_16|raw.lvl_learned_17|raw.lvl_learned_18|raw.move_id_16|raw.move_id_17
141.json,0,15,,raw.lvl_learned_20|raw.lvl_learned_21|raw.lvl_learned_22|raw.move_id_20|raw.move_id_21
142.json,0,5,,raw.lvl_learned_21|raw.move_id_21|readable.lvl_learned_21|readable.move_id_21|readable.move_id_21_index
143.json,0,15,,raw.lvl_learned_20|raw.lvl_learned_21|raw.lvl_learned_22|raw.move_id_20|raw.move_id_21
144.json,5,0,raw.lvl_learned_14|raw.move_id_14|readable.lvl_learned_14|readable.move_id_14|readable.move_id_14_index,
145.json,5,0,raw.lvl_learned_14|raw.move_id_14|readable.lvl_learned_14|readable.move_id_14|readable.move_id_14_index,
146.json,5,0,raw.lvl_learned_14|raw.move_id_14|readable.lvl_learned_14|readable.move_id_14|readable.move_id_14_index,
147.json,0,0,,
148.json,0,5,,raw.lvl_learned_16|raw.move_id_16|readable.lvl_learned_16|readable.move_id_16|readable.move_id_16_index
149.json,0,5,,raw.lvl_learned_21|raw.move_id_21|readable.lvl_learned_21|readable.move_id_21|readable.move_id_21_index
15.json,0,5,,raw.lvl_learned_15|raw.move_id_15|readable.lvl_learned_15|readable.move_id_15|readable.move_id_15_index
150.json,0,0,,
151.json,0,0,,
152.json,0,0,,
153.json,0,5,,raw.lvl_learned_19|raw.move_id_19|readable.lvl_learned_19|readable.move_id_19|readable.move_id_19_index
154.json,0,5,,raw.lvl_learned_21|raw.move_id_21|readable.lvl_learned_21|readable.move_id_21|readable.move_id_21_index
155.json,0,10,,raw.lvl_learned_15|raw.lvl_learned_16|raw.move_id_15|raw.move_id_16|readable.lvl_learned_15
156.json,0,10,,raw.lvl_learned_16|raw.lvl_learned_17|raw.move_id_16|raw.move_id_17|readable.lvl_learned_16
157.json,0,15,,raw.lvl_learned_18|raw.lvl_learned_19|raw.lvl_learned_20|raw.move_id_18|raw.move_id_19
158.json,0,0,,
159.json,0,0,,
16.json,0,15,,raw.lvl_learned_16|raw.lvl_learned_17|raw.lvl_learned_18|raw.move_id_16|raw.move_id_17
160.json,0,0,,
161.json,0,10,,raw.lvl_learned_14|raw.lvl_learned_15|raw.move_id_14|raw.move_id_15|readable.lvl_learned_14
162.json,0,10,,raw.lvl_learned_18|raw.lvl_learned_19|raw.move_id_18|raw.move_id_19|readable.lvl_learned_18
163.json,0,5,,raw.lvl_learned_17|raw.move_id_17|readable.lvl_learned_17|readable.move_id_17|readable.move_id_17_index
164.json,0,10,,raw.lvl_learned_20|raw.lvl_learned_21|raw.move_id_20|raw.move_id_21|readable.lvl_learned_20
165.json,0,15,,raw.lvl_learned_18|raw.lvl_learned_19|raw.lvl_learned_20|raw.move_id_18|raw.move_id_19
166.json,0,15,,raw.lvl_learned_21|raw.lvl_learned_22|raw.lvl_learned_23|raw.move_id_21|raw.move_id_22
167.json,0,0,,
168.json,0,0,,
169.json,0,15,,raw.lvl_learned_22|raw.lvl_learned_23|raw.lvl_learned_24|raw.move_id_22|raw.move_id_23
17.json,0,15,,raw.lvl_learned_16|raw.lvl_learned_17|raw.lvl_learned_18|raw.move_id_16|raw.move_id_17
170.json,0,10,,raw.lvl_learned_15|raw.lvl_learned_16|raw.move_id_15|raw.move_id_16|readable.lvl_learned_15
171.json,0,10,,raw.lvl_learned_20|raw.lvl_learned_21|raw.move_id_20|raw.move_id_21|readable.lvl_learned_20
172.json,0,25,,raw.lvl_learned_10|raw.lvl_learned_6|raw.lvl_learned_7|raw.lvl_learned_8|raw.lvl_learned_9
173.json,0,25,,raw.lvl_learned_10|raw.lvl_learned_11|raw.lvl_learned_7|raw.lvl_learned_8|raw.lvl_learned_9
174.json,0,80,,raw.lvl_learned_10|raw.lvl_learned_11|raw.lvl_learned_12|raw.lvl_learned_13|raw.lvl_learned_14
175.json,5,0,raw.lvl_learned_14|raw.move_id_14|readable.lvl_learned_14|readable.move_id_14|readable.move_id_14_index,
176.json,0,0,,
177.json,0,20,,raw.lvl_learned_16|raw.lvl_learned_17|raw.lvl_learned_18|raw.lvl_learned_19|raw.move_id_16
178.json,0,20,,raw.lvl_learned_18|raw.lvl_learned_19|raw.lvl_learned_20|raw.lvl_learned_21|raw.move_id_18
179.json,0,5,,raw.lvl_learned_15|raw.move_id_15|readable.lvl_learned_15|readable.move_id_15|readable.move_id_15_index
18.json,0,20,,raw.lvl_learned_19|raw.lvl_learned_20|raw.lvl_learned_21|raw.lvl_learned_22|raw.move_id_19
180.json,0,5,,raw.lvl_learned_18|raw.move_id_18|readable.lvl_learned_18|readable.move_id_18|readable.move_id_18_index
181.json,0,5,,raw.lvl_learned_23|raw.move_id_23|readable.lvl_learned_23|readable.move_id_23|readable.move_id_23_index
182.json,0,20,,raw.lvl_learned_21|raw.lvl_learned_22|raw.lvl_learned_23|raw.lvl_learned_24|raw.move_id_21
183.json,0,15,,raw.lvl_learned_20|raw.lvl_learned_21|raw.lvl_learned_22|raw.move_id_20|raw.move_id_21
184.json,0,15,,raw.lvl_learned_22|raw.lvl_learned_23|raw.lvl_learned_24|raw.move_id_22|raw.move_id_23
185.json,0,15,,raw.lvl_learned_21|raw.lvl_learned_22|raw.lvl_learned_23|raw.move_id_21|raw.move_id_22
186.json,0,5,,raw.lvl_learned_21|raw.move_id_21|readable.lvl_learned_21|readable.move_id_21|readable.move_id_21_index
187.json,0,5,,raw.lvl_learned_18|raw.move_id_18|readable.lvl_learned_18|readable.move_id_18|readable.move_id_18_index
188.json,0,0,,
189.json,0,5,,raw.lvl_learned_22|raw.move_id_22|readable.lvl_learned_22|readable.move_id_22|readable.move_id_22_index
19.json,0,5,,raw.lvl_learned_17|raw.move_id_17|readable.lvl_learned_17|readable.move_id_17|readable.move_id_17_index
190.json,0,0,,
191.json,0,10,,raw.lvl_learned_16|raw.lvl_learned_17|raw.move_id_16|raw.move_id_17|readable.lvl_learned_16
192.json,0,10,,raw.lvl_learned_18|raw.lvl_learned_19|raw.move_id_18|raw.move_id_19|readable.lvl_learned_18
193.json,0,10,,raw.lvl_learned_16|raw.lvl_learned_17|raw.move_id_16|raw.move_id_17|readable.lvl_learned_16
194.json,0,15,,raw.lvl_learned_13|raw.lvl_learned_14|raw.lvl_learned_15|raw.move_id_13|raw.move_id_14
195.json,0,15,,raw.lvl_learned_18|raw.lvl_learned_19|raw.lvl_learned_20|raw.move_id_18|raw.move_id_19
196.json,0,10,,raw.lvl_learned_18|raw.lvl_learned_19|raw.move_id_18|raw.move_id_19|readable.lvl_learned_18
197.json,0,10,,raw.lvl_learned_18|raw.lvl_learned_19|raw.move_id_18|raw.move_id_19|readable.lvl_learned_18
198.json,0,15,,raw.lvl_learned_18|raw.lvl_learned_19|raw.lvl_learned_20|raw.move_id_18|raw.move_id_19
199.json,0,10,,raw.lvl_learned_18|raw.lvl_learned_19|raw.move_id_18|raw.move_id_19|readable.lvl_learned_18
2.json,0,20,,raw.lvl_learned_17|raw.lvl_learned_18|raw.lvl_learned_19|raw.lvl_learned_20|raw.move_id_17
20.json,0,5,,raw.lvl_learned_19|raw.move_id_19|readable.lvl_learned_19|readable.move_id_19|readable.move_id_19_index
200.json,0,10,,raw.lvl_learned_17|raw.lvl_learned_18|raw.move_id_17|raw.move_id_18|readable.lvl_learned_17
