trainer,index,type,subject,input,calc
"Ace Trainer Belle",0,ability,"Heatmor","","tough claws"
"Ace Trainer Belle",0,moves,"Heatmor","[]","['fire lash', 'iron head', 'obstruct', 'zen headbutt']"
"Ace Trainer Belle",1,ability,"Ninjask","","speed boost"
"Ace Trainer Belle",1,moves,"Ninjask","[]","['fury swipes', 'pin missile', 'razor winds', 'substitute']"
"Ace Trainer Belle",2,ability,"Lopunny","","scrappy"
"Ace Trainer Belle",2,moves,"Lopunny","[]","['fake out', 'last resort', 'none']"
"Ace Trainer Belle",3,ability,"Lucario","","trace"
"Ace Trainer Belle",3,moves,"Lucario","[]","['aura sphere', 'detect', 'extreme speed', 'iron tail']"
"Ace Trainer Geoff",0,ability,"Cacturne","","sand rush"
"Ace Trainer Geoff",0,moves,"Cacturne","[]","['leaf storm', 'phantom strike', 'spikes', 'weather crash']"
"Ace Trainer Geoff",1,ability,"Typhlosion","","mild"
"Ace Trainer Geoff",1,moves,"Typhlosion","[]","['eruption', 'flamethrower', 'protect', 'scorching sands']"
"Ace Trainer Geoff",2,ability,"Rampardos","","sheer force"
"Ace Trainer Geoff",2,moves,"Rampardos","[]","['fire punch', 'ice punch', 'rock climb', 'thunder punch']"
"Ace Trainer Geoff",3,ability,"Probopass","","bold"
"Ace Trainer Geoff",3,moves,"Probopass","[]","['ancient power', 'earth power', 'flash cannon', 'thunder wave']"
"Ace Trainer Lydon",0,ability,"Lapras","","refrigerate"
"Ace Trainer Lydon",0,moves,"Lapras","[]","['hydro pump', 'hyper voice', 'sing', 'thunderbolt']"
"Ace Trainer Lydon",1,ability,"Dewgong","","keen senses"
"Ace Trainer Lydon",1,moves,"Dewgong","[]","['freeze-dry', 'safeguard', 'thunder', 'water pulse']"
"Ace Trainer Lydon",2,ability,"Noctowl","","overcoat"
"Ace Trainer Lydon",2,moves,"Noctowl","[]","['blizzard', 'moonblast', 'psychic', 'shadow ball']"
"Ace Trainer Lydon",3,ability,"Beartic","","slush rush"
"Ace Trainer Lydon",3,moves,"Beartic","[]","['hammer arm', 'ice hammer', 'night slash', 'play rough']"
"Ace Trainer Mary",0,ability,"Rapidash","","drought"
"Ace Trainer Mary",0,moves,"Rapidash","[]","['flare blitz', 'protect', 'starburst', 'wild charge']"
"Ace Trainer Mary",1,ability,"Druddigon","","sheer force"
"Ace Trainer Mary",1,moves,"Druddigon","[]","['dragon rush', 'fire punch', 'stealth rock', 'thunder punch']"
"Ace Trainer Mary",2,ability,"Gigalith","","chlorophyll"
"Ace Trainer Mary",2,moves,"Gigalith","[]","['power gem', 'solar beam', 'thunderbolt', 'weather ball']"
"Ace Trainer Mary",3,ability,"Magmortar","","no guard"
"Ace Trainer Mary",3,moves,"Magmortar","[]","['flamethrower', 'focus blast', 'solar beam', 'thunder']"
"Ace Trainer Shaye",0,ability,"Mamoswine","","berserk"
"Ace Trainer Shaye",0,moves,"Mamoswine","[]","['earth power', 'freeze-dry', 'rock slide', 'thrash']"
"Ace Trainer Shaye",1,ability,"Zebstrika","","reckless"
"Ace Trainer Shaye",1,moves,"Zebstrika","[]","['double-edge', 'protect', 'temper flare', 'wild charge']"
"Ace Trainer Shaye",2,ability,"Krookodile","","docile"
"Ace Trainer Shaye",2,moves,"Krookodile","[]","['psychic fangs', 'swagger', 'thunder fang', 'wicked blow']"
"Ace Trainer Shaye",3,ability,"Stunfisk","","dry skin"
"Ace Trainer Shaye",3,moves,"Stunfisk","[]","['earth power', 'gunk shot', 'liquidation', 'zing zap']"
"Ace Trainer Vicki",0,ability,"Rotom","","galvanize"
"Ace Trainer Vicki",0,moves,"Rotom","[]","['confuse ray', 'energy ball', 'hyper voice', 'ominous wind']"
"Ace Trainer Vicki",1,ability,"Illumise","","pixilate"
"Ace Trainer Vicki",1,moves,"Illumise","[]","['fake out', 'helping hand', 'return', 'zing zap']"
"Ace Trainer Vicki",2,ability,"Kecleon","","quirky"
"Ace Trainer Vicki",2,moves,"Kecleon","[]","['drain punch', 'protect', 'sucker punch', 'thunder punch']"
"Ace Trainer Vicki",3,ability,"Gengar","","levitate"
"Ace Trainer Vicki",3,moves,"Gengar","[]","['destiny bond', 'shadow ball', 'sludge bomb', 'thunder']"
"Artist Horton",0,ability,"Smeargle","","savant"
"Artist Horton",0,moves,"Smeargle","[]","['blizzard', 'heat wave', 'iron tail', 'muddy water']"
"Artist Horton",1,ability,"Muk","","contagious"
"Artist Horton",1,moves,"Muk","[]","['crunch', 'fire fang', 'poison jab', 'sucker punch']"
"Artist Horton",2,ability,"Kecleon","","adaptability"
"Artist Horton",2,moves,"Kecleon","[]","['crush claw', 'dual chop', 'shadow claw', 'shadow sneak']"
"Backers Ava & Aya",0,ability,"Lopunny","","scrappy"
"Backers Ava & Aya",0,moves,"Lopunny","[]","['attract', 'brick break', 'fake out', 'rage']"
"Backers Ava & Aya",1,ability,"Braviary","","defiant"
"Backers Ava & Aya",1,moves,"Braviary","[]","['dual wingbeat', 'retaliate', 'rock slide', 'thrash']"
"Backers Ava & Aya",2,ability,"Exploud","","scrappy"
"Backers Ava & Aya",2,moves,"Exploud","[]","['bug buzz', 'flamethrower', 'hyper voice', 'ice beam']"
"Backers Ava & Aya",3,ability,"Togekiss","","serene grace"
"Backers Ava & Aya",3,moves,"Togekiss","[]","['air slash', 'draining kiss', 'roost', 'water pulse']"
"Backers Stu & Art",0,ability,"Heracross","","guts"
"Backers Stu & Art",0,moves,"Heracross","[]","['drain punch', 'revenge', 'rock tomb', 'x-scissor']"
"Backers Stu & Art",1,ability,"Rotom","","levitate"
"Backers Stu & Art",1,moves,"Rotom","[]","['air cutter', 'leaf tornado', 'shock wave', 'water pulse']"
"Backers Stu & Art",2,ability,"Vanilluxe","","weak armor"
"Backers Stu & Art",2,moves,"Vanilluxe","[]","['glaciate', 'sludge', 'sweet scent', 'water pulse']"
"Backers Stu & Art",3,ability,"Slaking","","slow start"
"Backers Stu & Art",3,moves,"Slaking","[]","['body slam', 'crunch', 'skill swap', 'slack off']"
"Backpacker Annie",0,ability,"Donphan","","pickup"
"Backpacker Annie",0,moves,"Donphan","[]","['drill run', 'rollout', 'seed bomb', 'spin out']"
"Backpacker Annie",1,ability,"Steelix","","heatproof"
"Backpacker Annie",1,moves,"Steelix","[]","['crunch', 'dragon rush', 'earthquake', 'iron tail']"
"Backpacker Annie",2,ability,"Crawdaunt","","adaptability"
"Backpacker Annie",2,moves,"Crawdaunt","[]","['dark pulse', 'surf', 'waterfall', 'zen headbutt']"
"Backpacker Annie",3,ability,"Maractus","","storm drain"
"Backpacker Annie",3,moves,"Maractus","[]","['earthquake', 'needle arm', 'swords dance', 'thunder punch']"
"Backpacker Eileen",0,ability,"Walrein","","thick fat"
"Backpacker Eileen",0,moves,"Walrein","[]","['crunch', 'icicle crash', 'liquidation', 'psychic fangs']"
"Backpacker Eileen",1,ability,"Camerupt","","sheer force"
"Backpacker Eileen",1,moves,"Camerupt","[]","['earth power', 'heat wave', 'uproar', 'yawn']"
"Backpacker Kendall",0,ability,"Exeggutor","","berserk"
"Backpacker Kendall",0,moves,"Exeggutor","[]","['dream eater', 'seed bomb', 'sleep powder', 'stompin tantrum']"
"Backpacker Kendall",1,ability,"Magcargo","","gooey"
"Backpacker Kendall",1,moves,"Magcargo","[]","['flame burst', 'recover', 'scald', 'sparkle']"
"Backpacker Kendall",2,ability,"Azumarill","","huge power"
"Backpacker Kendall",2,moves,"Azumarill","[]","['bubble beam', 'dizzy punch', 'rock smash', 'work up']"
"Backpacker Kendall",3,ability,"Hariyama","","sheer force"
"Backpacker Kendall",3,moves,"Hariyama","[]","['beat up', 'body slam', 'rock slide', 'vital throw']"
"Backpacker Rachel",0,ability,"Beedrill","","levitate"
"Backpacker Rachel",0,moves,"Beedrill","[]","['drill run', 'knock off', 'leech life', 'poison jab']"
"Backpacker Rachel",1,ability,"Pelipper","","torrent"
"Backpacker Rachel",1,moves,"Pelipper","[]","['air slash', 'brine', 'roost', 'supersonic']"
"Backpacker Randall",0,ability,"Tangrowth","","overgrow"
"Backpacker Randall",0,moves,"Tangrowth","[]","['energy ball', 'focus blast', 'helping hand', 'sludge bomb']"
"Backpacker Randall",1,ability,"Druddigon","","rough skin"
"Backpacker Randall",1,moves,"Druddigon","[]","['devour', 'iron head', 'rock climb', 'temper flare']"
"Backpacker Roland",0,ability,"Hippowdon","","rough skin"
"Backpacker Roland",0,moves,"Hippowdon","[]","['earthquake', 'rock slide', 'slack off', 'thunder fang']"
"Backpacker Roland",1,ability,"Breloom","","technician"
"Backpacker Roland",1,moves,"Breloom","[]","['arm thrust', 'bullet seed', 'comet punch', 'spore']"
"Backpacker Sam",0,ability,"Camerupt","","solid rock"
"Backpacker Sam",0,moves,"Camerupt","[]","['blaze kick', 'rock slide', 'scorching sands', 'smog']"
"Backpacker Sam",1,ability,"Cacturne","","sand veil"
"Backpacker Sam",1,moves,"Cacturne","[]","['barb barrage', 'needle arm', 'shadow punch', 'substitute']"
"Backpacker Tami",0,ability,"Clefable","","magic guard"
"Backpacker Tami",0,moves,"Clefable","[]","['draining kiss', 'ice beam', 'thunder wave', 'thunderbolt']"
"Backpacker Tami",1,ability,"Shuckle","","gourmand"
"Backpacker Tami",1,moves,"Shuckle","[]","['scorching sands', 'signal beam', 'toxic', 'weather ball']"
"Baker Jenn",0,ability,"Simisear","","drought"
"Baker Jenn",0,moves,"Simisear","[]","['fire lash', 'seed bomb', 'thunder punch', 'u-turn']"
"Baker Jenn",1,ability,"Tropius","","chlorophyll"
"Baker Jenn",1,moves,"Tropius","[]","['air cutter', 'ancient power', 'flame burst', 'giga drain']"
"Baker Jenn",2,ability,"Lickilicky","","calm"
"Baker Jenn",2,moves,"Lickilicky","[]","['body slam', 'flamethrower', 'rest', 'wrap']"
"Baker Jenn",3,ability,"Rotom","","levitate"
"Baker Jenn",3,moves,"Rotom","[]","['aurora beam', 'discharge', 'flamethrower', 'leaf tornado']"
"Beauty Fleming",0,ability,"Ampharos","","lax"
"Beauty Fleming",0,moves,"Ampharos","[]","['dual chop', 'parabolic zap', 'power gem', 'signal beam']"
"Beauty Fleming",1,ability,"Dewgong","","keen senses"
"Beauty Fleming",1,moves,"Dewgong","[]","['aurora beam', 'bubble beam', 'fake out', 'thunderbolt']"
"Beauty Fleming",2,ability,"Magnezone","","sturdy"
"Beauty Fleming",2,moves,"Magnezone","[]","['bug buzz', 'discharge', 'light screen', 'magnet bomb']"
"Beauty Fleming",3,ability,"Serperior","","adaptability"
"Beauty Fleming",3,moves,"Serperior","[]","['discharge', 'dragon pulse', 'flamethrower', 'leaf tornado']"
"Beauty Monika",0,ability,"Clefable","","timid"
"Beauty Monika",0,moves,"Clefable","[]","['blizzard', 'fire blast', 'stealth rock', 'thunder']"
"Beauty Monika",1,ability,"Togekiss","","serene grace"
"Beauty Monika",1,moves,"Togekiss","[]","['air slash', 'ancient power', 'charge beam', 'thunder wave']"
"Beauty Monika",2,ability,"Gallade","","naive"
"Beauty Monika",2,moves,"Gallade","[]","['attract', 'close combat', 'night slash', 'psycho cut']"
"Beauty Monika",3,ability,"Pachirisu","","impish"
"Beauty Monika",3,moves,"Pachirisu","[]","['captivate', 'charm', 'dazzling gleam', 'discharge']"
"Beauty Nikola",0,ability,"Roserade","","chlorophyll"
"Beauty Nikola",0,moves,"Roserade","[]","['extrasensory', 'petal dance', 'sleep powder', 'sludge']"
"Beauty Nikola",1,ability,"Manectric","","strong jaw"
"Beauty Nikola",1,moves,"Manectric","[]","['devour', 'ice fang', 'rock smash', 'thunder fang']"
"Beauty Nikola",2,ability,"Electivire","","rash"
"Beauty Nikola",2,moves,"Electivire","[]","['drain punch', 'fire punch', 'ice punch', 'thunderbolt']"
"Beauty Nikola",3,ability,"Jynx","","majestic ward"
"Beauty Nikola",3,moves,"Jynx","[]","['attract', 'aurora beam', 'extrasensory', 'thunderbolt']"
"Beauty Stella",0,ability,"Pidgeot","","aerilate"
"Beauty Stella",0,moves,"Pidgeot","[]","['fire blast', 'focus blast', 'thunder', 'uproar']"
"Beauty Stella",1,ability,"Swellow","","guts"
"Beauty Stella",1,moves,"Swellow","[]","['drill peck', 'extreme speed', 'steel wing', 'volt tackle']"
"Beauty Stella",2,ability,"Kingdra","","swift swim"
"Beauty Stella",2,moves,"Kingdra","[]","['dragon rush', 'ice beam', 'rain dance', 'scald']"
"Beauty Stella",3,ability,"Emolga","","motor drive"
"Beauty Stella",3,moves,"Emolga","[]","['air slash', 'discharge', 'iron tail', 'play rough']"
"Cosplayer Amy",0,ability,"Clefable","","impish"
"Cosplayer Amy",0,moves,"Clefable","[]","['body press', 'cosmic power', 'fairy wind', 'magical leaf']"
"Cosplayer Amy",1,ability,"Solrock","","levitate"
"Cosplayer Amy",1,moves,"Solrock","[]","['mystical fire', 'power gem', 'psyshock', 'rock polish']"
"Cosplayer Amy",2,ability,"Starmie","","mold breaker"
"Cosplayer Amy",2,moves,"Starmie","[]","['bubble beam', 'calm mind', 'psybeam', 'recover']"
"Cosplayer Anders",0,ability,"Mienshao","","reckless"
"Cosplayer Anders",0,moves,"Mienshao","[]","['jump kick', 'knock off', 'pursuit', 'u-turn']"
"Cosplayer Anders",1,ability,"Cryogonal","","sturdy"
"Cosplayer Anders",1,moves,"Cryogonal","[]","['baton pass', 'flash cannon', 'freeze-dry', 'power gem']"
"Cosplayer Anders",2,ability,"Emboar","","intimidate"
"Cosplayer Anders",2,moves,"Emboar","[]","['flamethrower', 'payback', 'slack off', 'work up']"
"Cosplayer Cassie",0,ability,"Jumpluff","","skill link"
"Cosplayer Cassie",0,moves,"Jumpluff","[]","['bullet seed', 'razor winds', 'sleep powder', 'u-turn']"
"Cosplayer Cassie",1,ability,"Banette","","prankster"
"Cosplayer Cassie",1,moves,"Banette","[]","['body slam', 'dizzy punch', 'shadow claw', 'will-o-wisp']"
"Cosplayer Cassie",2,ability,"Flareon","","fur coat"
"Cosplayer Cassie",2,moves,"Flareon","[]","['crunch', 'fire fang', 'take down', 'thunder fang']"
"Cosplayer Jared",0,ability,"Metang","","tough claws"
"Cosplayer Jared",0,moves,"Metang","[]","['explosion', 'hammer arm', 'meteor mash', 'zen headbutt']"
"Cosplayer Jared",1,ability,"Manectric","","intimidate"
"Cosplayer Jared",1,moves,"Manectric","[]","['crunch', 'fire fang', 'ice fang', 'thunder fang']"
"Cosplayer Jared",2,ability,"Sawk","","sturdy"
"Cosplayer Jared",2,moves,"Sawk","[]","['double hit', 'fire punch', 'flail', 'strength']"
"Cosplayer Miriam",0,ability,"Gengar","","neutralizing gas sassy"
"Cosplayer Miriam",0,moves,"Gengar","[]","['destiny bond', 'hex', 'sludge', 'will-o-wisp']"
"Cosplayer Miriam",1,ability,"Masquerain","","quiet"
"Cosplayer Miriam",1,moves,"Masquerain","[]","['bubble beam', 'dazzling gleam', 'quiver dance', 'signal beam']"
"Cosplayer Miriam",2,ability,"Gothitelle","","lax"
"Cosplayer Miriam",2,moves,"Gothitelle","[]","['force palm', 'psybeam', 'shock wave', 'torment']"
"Cosplayer Miriam",3,ability,"Mismagius","","levitate"
"Cosplayer Miriam",3,moves,"Mismagius","[]","['dazzling gleam', 'mystical fire', 'ominous wind', 'power gem']"
"Cyclist Hector",0,ability,"Jolteon","","lightning rod"
"Cyclist Hector",0,moves,"Jolteon","[]","['extreme speed', 'signal beam', 'spiky shield', 'thunderbolt']"
"Cyclist Hector",1,ability,"Vaporeon","","storm drain"
"Cyclist Hector",1,moves,"Vaporeon","[]","['aurora beam', 'bubble beam', 'hyper voice', 'wide guard']"
"Cyclist Hector",2,ability,"Flareon","","flash fire"
"Cyclist Hector",2,moves,"Flareon","[]","['body slam', 'cotton guard', 'iron tail', 'temper flare']"
"Cyclist Krissa",0,ability,"Umbreon","","patient"
"Cyclist Krissa",0,moves,"Umbreon","[]","['dark pulse', 'follow me', 'foul play', 'psychic']"
"Cyclist Krissa",1,ability,"Espeon","","magic bounce"
"Cyclist Krissa",1,moves,"Espeon","[]","['dazzling gleam', 'esper wing', 'force palm', 'protect']"
"Cyclist Krissa",2,ability,"Glaceon","","majestic ward"
"Cyclist Krissa",2,moves,"Glaceon","[]","['glaciate', 'grass knot', 'hyper voice', 'water pulse']"
