	Pokémon	Abil 1		Abil 2		Abil 3 (HA)		Abil 4 (AI Only)		Abil 5 (AI Only)		Abil 6 (AI Only)	



1	Bulbasaur	Resilient		Overgrow		Thick Fat		Drought		Chlorophyll		Flower Gift	
2	Ivysaur	Resilient		Overgrow		Thick Fat		Drought		Chlorophyll		Flower Gift	
3	Venusaur	Resilient		Overgrow		Thick Fat		Drought		Chlorophyll		Flower Gift	
4	Charmander	Flash Fire		Blaze		Tough Claws		Drought		Intimidate		Turboblaze	
5	Charmeleon	Flash Fire		Blaze		Tough Claws		Drought		Intimidate		Turboblaze	
6	Charizard	Levitate		Blaze		Tough Claws		Drought		Intimidate		Turboblaze	
7	Squirtle	Shell Armor		Torrent		Rain Dish		Drizzle		Quick Draw		Ballistics	
8	Wartortle	Shell Armor		Torrent		Rain Dish		Drizzle		Quick Draw		Ballistics	
9	Blastoise	Shell Armor		Torrent		Determined		Drizzle		Quick Draw		Ballistics	
10	Caterpie	Resilient		Keen Senses		Swarm		Anticipation		Serene Grace		Serene Grace	
11	Metapod	Resilient		Battle Armor		Swarm		Anticipation		Serene Grace		Serene Grace	
12	Butterfree	Keen Senses		Tenacity		Swarm		Anticipation		Serene Grace		Serene Grace	
13	Weedle	Resilient		Poison Point		Swarm		Sniper		Anticipation		Anticipation	
14	Kakuna	Resilient		Battle Armor		Swarm		Sniper		Anticipation		Anticipation	
15	Beedrill	Levitate		Adaptability		Swarm		Sniper		Anticipation		Anticipation	
16	Pidgey	No Guard		Quick Feet		Aerilate		Serene Grace		Serene Grace		Serene Grace	
17	Pidgeotto	No Guard		Quick Feet		Aerilate		Serene Grace		Serene Grace		Serene Grace	
18	Pidgeot	No Guard		Quick Feet		Aerilate		Serene Grace		Serene Grace		Serene Grace	
19	Rattata	Adaptability		Guts		Guts		?		?		?	
20	Raticate	Adaptability		Guts		Guts		?		?		?	
21	Spearow	Intimidate		Defiant		Defiant		Sniper		Sniper		Sniper	
22	Fearow	Intimidate		Hustle		Hustle		Sniper		Sniper		Sniper	
23	Ekans	Intimidate		Sheer Force		Regenerator		Stakeout		Arena Trap		Stench	
24	Arbok	Intimidate		Sheer Force		Regenerator		Stakeout		Arena Trap		Stench	
172	Pichu	Thunder Armor		Static		Galvanize		Plus		Minus		Minus	
25	Pikachu	Thunder Armor		Static		Galvanize		Plus		Minus		Minus	
26	Raichu	Teravolt		Sheer Force		Galvanize		Plus		Minus		Minus	
27	Sandshrew	Rough Skin		Sand Force		Sand Force		Sand Stream		Sand Veil  		Sand Veil  	
28	Sandslash	Rough Skin		Sand Force		Sand Force		Sand Stream		Sand Veil  		Sand Veil  	
29	Nidoran-F	Rivalry		Sheer Force		Thick Fat		Sand Stream		Sand Veil  		Anger Point	
30	Nidorina	Rivalry		Sheer Force		Thick Fat		Sand Stream		Sand Veil  		Anger Point	
31	Nidoqueen	Battle Armor		Sheer Force		Thick Fat		Sand Stream		Sand Veil  		Anger Point	
32	Nidoran-M	Rivalry		Sheer Force		Exploit		Sand Stream		Sand Veil  		Anger Point	
33	Nidorino	Rivalry		Sheer Force		Exploit		Sand Stream		Sand Veil  		Anger Point	
