Found at address 8E3C0




00 6A 5A 04
01 6A 5A 04
02 6A 5A 04
03 6A 5B 04
04 6A 5A 04
05 6A 5B 04
06 6B 64 04
07 6B 64 04
08 6A 65 04
09 6A 65 04
0A 6A 5A 04
0B 6A 5A 04
0C 6A 5A 04
0D 6A 5F 04
0E 6A 5C 04
0F 6A 5C 04
10 6A 5C 04
11 6A 5A 04
12 6A 5F 04
13 6A 5A 04
14 6A 5A 04
15 6A 5A 04
16 6A 5A 04
17 6A 5A 04
18 6A 5D 04
19 6A 5D 04
1A 6A 65 04
1B 6A 64 04
1C 6A 64 04
1D 6A 64 04
1E 6A 63 04
1F 6A 5E 04
20 6A 63 04
21 6A 66 04
22 6A 65 04
23 6A 61 04
24 6A 61 04
25 6A 5A 04
26 6D 5A 04
27 6A 5A 04
28 71 5A 04
29 6A 5A 04
2A 6A 5B 04
2B 6A 65 04
2C 6A 65 04
2D 6B 64 04
2E 6A 62 04
28 6A 5A 04
2F 6A 5F 04
30 6A 5D 04
31 6A 5D 04
32 6A 61 04
33 6A 62 04
34 6B 64 04
35 6A 5A 04
36 6A 5A 04
37 6A 5A 04
38 6A 5E 04
39 6A 65 04
3A 6A 63 04
3B 6A 63 04
3C 6B 65 04
3D 6B 65 04
3E 6A 5E 04
3F 6A 61 04
40 6A 5F 04
41 6A 65 04
42 6A 65 04
43 6A 63 04
44 6A 63 04
45 6A 5D 04
46 6A 5D 04
47 6A 61 04
48 6B 64 04
49 6A 64 04
4A 6A 66 04
4B 6A 66 04
4C 6A 5A 04
4D 6F 5A 04
4E 6F 5A 04
4F 6F 5A 04
50 6F 5A 04
51 6A 5A 04
52 6A 65 04
53 6A 60 04
54 6A 5F 04
55 6A 65 04
56 6A 66 04
57 6A 5A 04
58 ED 5A 04
59 6A 60 04
5A 6A 60 04
47 6A 61 04
04 6A 5A 04
46 6A 5A 04
4A 6A 5A 04
4B 6A 5A 04
45 6A 5D 04
2A 6A 5A 04
29 6A 5A 04
5B 79 5A 04
28 6A 5A 04
5C 6A 5A 04
5D 6A 5A 04
33 6A 62 04
49 6A 64 04
23 6A 61 04
24 6A 61 04
45 6A 5D 04
46 6A 5D 04
31 6A 5D 04
30 6A 5D 04
5E 6C 5A 04
5F 6C 5A 04
60 6C 5A 04
61 6C 5A 04
62 6C 5A 04
63 6C 5A 04
64 6C 5A 04
65 6C 5A 04
66 DD 5D 04
67 DD 5D 04
68 DD 5D 04
69 DD 5D 04
6A DD 5D 04
6B DD 5D 04
6C DD 5D 04
6D DF 5A 04
6E DF 5A 04
6F DF 5A 04
70 DF 5A 04
71 E7 5A 04
72 DF 5A 04
73 DF 5A 04
74 ED 5A 04
75 DD 5D 04
76 E1 5A 04
77 E1 5A 04
78 E1 5A 04
79 E1 5A 04
7A E1 5A 04
7B E1 5A 04
7C E1 5A 04
7D E1 5A 04
7E F3 5A 04
7F EE 5A 04
80 6A 5E 04
11 6A 5A 04
11 6A 5A 04
12 6A 5F 04
12 6A 5F 04
18 6A 5D 04
18 6A 5D 04
19 6A 5D 04
19 6A 5D 04
57 6A 5A 04
57 6A 5A 04
31 6A 5D 04
31 6A 5D 04
30 6A 5D 04
30 6A 5D 04
45 6A 5D 04
45 6A 5D 04
46 6A 5D 04
46 6A 5D 04
5C 6A 5A 04
5C 6A 5A 04
81 E3 5A 04
82 E3 5A 04
83 E3 5A 04
84 E3 5A 04
85 E3 5A 04
86 E3 5A 04
87 E3 5A 04
88 E3 5D 04
89 6A 5A 04
8A 6A 5A 04
8B 6A 5A 04
8C 6A 5A 04
8D 6A DB 04
8E 6A 5A 04
8F 6A 5A 04
90 6A 5A 04
91 6A 5A 04
92 6A 5A 04
93 6A 5A 04
94 EA 5A 04
95 E9 67 04
96 E9 67 04
97 EB 5A 04
98 6A 5A 04
99 F3 5A 04
9A E9 5A 04
9B EC 5A 04
9C 6A 5A 04
94 6A 5A 04
49 6A 5A 04
61 6D 5A 04
9B 6A 5A 04
9D 6A 5A 04
9E 6A 5A 04
9F 6A 5A 04
A0 6A 5A 04
A1 6A 5A 04
A2 6A 5A 04
A3 6A 5A 04
A4 6A 5A 04
A5 6A 5A 04
A6 6A 5A 04
A7 6A 5A 04
A8 6A 5A 04
A9 6B 63 04
AA 6B 63 04
AB 77 5A 04
AC 6B 63 04
AD 77 5A 04
AE 6A 5A 04
AF 6A 5A 04
B0 73 5A 04 ange statue
B1 6A 5A 04
B2 77 5A 04
B3 6B 63 04
B4 6B 63 04
B5 6B 63 04
B6 6B 63 04
B7 6A 5A 04
B8 6A 5A 04
B9 ED 4D 04
32 6A 61 04
3F 6A 61 04
2E 6A 62 04
2B 6A 65 04
BA 77 5A 04
20 6A DC 04
BB 6A 5A 04
94 EA 5A 04

E7 = Kyurem Theme
EB = Ghetsis Theme
ED = Champion Alder's Theme 
77 = Legendary Pokemon Theme 
F3 = Team Plasma Theme 
